# DONNEES SYNTHETIQUES - NE PAS UTILISER COMME DONNEES DE MARCHE
Date,Bitcoin,Ethereum,Solana,SP500,Or
2018-01-01,13795.531045863294,711.1055475090141,12.622427888283124,2708.3926349970625,1304.86331182023
2018-01-02,13832.145658480398,718.0915190646413,11.302243096975271,2670.5622204791953,1320.201246795275
2018-01-03,14196.733233335975,706.564454660571,11.582817552667846,2679.5941698750544,1313.3479032952885
2018-01-04,13897.527405423221,695.0098049918789,11.65673139409023,2727.53392109749,1313.0470088227146
2018-01-05,12623.639623216088,651.4987850758895,11.181376051332245,2742.312404507827,1300.1426595484259
2018-01-08,12777.097026325788,644.5243380994574,11.035311405788779,2754.039629450762,1299.7164851129505
2018-01-09,12888.223808352419,646.858208088119,11.554934311598828,2767.4513921797675,1294.0675534474722
2018-01-10,14067.84053022686,705.7784811771893,12.114611297520865,2755.814008766732,1308.016025998347
2018-01-11,14600.662399032175,695.4930708680456,11.683846654910823,2729.371102501253,1305.8490374712098
2018-01-12,14690.244045431471,699.1276055177508,11.490263242541856,2734.8597721521946,1303.4244094880937
2018-01-15,14424.47414942642,666.951404944346,11.541639572972535,2697.459795680956,1299.909968413527
2018-01-16,14444.885666159922,646.3322081753665,11.149872902832465,2691.125590784872,1302.7255704119823
2018-01-17,12980.82700378741,583.2522356374243,10.727106315921002,2613.126713113897,1289.4134635985004
2018-01-18,12834.684542946885,573.7271689152925,10.961069387703047,2601.8719586418392,1294.7281601959526
2018-01-19,12903.042210842108,629.2521356178693,11.693920391286445,2593.225444942859,1293.7817245112851
2018-01-22,12673.19815581013,615.5912544523267,11.390078803299275,2580.867032652572,1292.3600991116768
2018-01-23,12599.45419556644,607.4683402948925,11.08591828109239,2581.393750598199,1295.7579275638852
2018-01-24,11757.707888856416,579.6663007857379,10.287946790908784,2645.7372838007273,1288.739218840658
2018-01-25,11728.561869599987,572.3491522438867,10.355674211983928,2616.7837613002716,1292.5008989848056
2018-01-26,11979.58127658995,593.8919183351954,10.497215906117006,2621.3110126396105,1296.525103528946
2018-01-29,12052.336060824786,587.8531529574519,10.707513146477442,2639.6828878007623,1286.0838503271868
